,codigo,punto_obs,propietario,id_estacion,captor,categoria,latitud,longitud,altitud
0,M5042,SAN ANTONIO - EPMAPS QUITO,EPMAPS,63961,ELECTROMECANICA,HIDRO - METEOROLOGICA,-0.015000,-78.453056,2420.00
1,M5044,YARUQUI -EPMAPS QUITO,EPMAPS,64430,ELECTROMECANICA,METEOROLOGICA,-0.163959,-78.306011,2679.45
2,M5050,EL TROJE - EPMAPS QUITO,EPMAPS,64437,ELECTROMECANICA,METEOROLOGICA,-0.332972,-78.523172,3122.83
3,M5057,PUENGASI -EPMAPS QUITO,EPMAPS,64436,ELECTROMECANICA,METEOROLOGICA,-0.236268,-78.492673,2970.92
4,M5060,EL CINTO,EPMAPS,64438,ELECTROMECANICA,METEOROLOGICA,-0.247897,-78.569416,3275.72
5,M5101,CALDERON - EPMAPS QUITO,EPMAPS,64439,ELECTROMECANICA,METEOROLOGICA,-0.077366,-78.432949,2767.83
6,M5230,RUMIHURCO,EPMAPS,64427,ELECTROMECANICA,METEOROLOGICA,-0.129352,-78.537059,3563.40
7,M5231,RUMIPAMBA EPMAPS,EPMAPS,64428,ELECTROMECANICA,METEOROLOGICA,-0.175017,-78.530870,3327.13
8,M5232,BELLAVISTA,EPMAPS,64429,ELECTROMECANICA,METEOROLOGICA,-0.181241,-78.461283,3355.00
9,M5234,LA MICA PRESA,EPMAPS,64432,ELECTROMECANICA,METEOROLOGICA,-0.546045,-78.227802,3922.42
10,M5235,PITA CAMPAMENTO,EPMAPS,64433,ELECTROMECANICA,METEOROLOGICA,-0.495755,-78.437868,3360.00
11,M5236,SALVE FACCHA,EPMAPS,64434,ELECTROMECANICA,METEOROLOGICA,-0.230275,-78.152078,3888.93
12,M5237,GUAYTALOMA,EPMAPS,64435,ELECTROMECANICA,METEOROLOGICA,-0.297211,-78.121584,3782.98
